"disease","mmwr_year","mmwr_week","current_week","cummulative","date"
"Other Serogroup",2015,30,0,12,"2015-07-26"
"Serogroup B",2015,30,1,53,"2015-07-26"
"Unknown Serogroup",2015,30,2,103,"2015-07-26"
"ACWY Serogroups",2015,30,0,47,"2015-07-26"
"ACWY Serogroups",2015,31,0,47,"2015-08-02"
"Serogroup B",2015,31,0,55,"2015-08-02"
"Other Serogroup",2015,31,0,12,"2015-08-02"
"Unknown Serogroup",2015,31,2,107,"2015-08-02"
"Serogroup B",2015,32,0,55,"2015-08-09"
"ACWY Serogroups",2015,32,0,48,"2015-08-09"
"Unknown Serogroup",2015,32,1,109,"2015-08-09"
"Other Serogroup",2015,32,1,13,"2015-08-09"
"Serogroup B",2015,33,0,54,"2015-08-16"
"Other Serogroup",2015,33,0,12,"2015-08-16"
"ACWY Serogroups",2015,33,0,48,"2015-08-16"
"Unknown Serogroup",2015,33,2,112,"2015-08-16"
"Serogroup B",2015,34,0,54,"2015-08-23"
"Other Serogroup",2015,34,0,14,"2015-08-23"
"Unknown Serogroup",2015,34,2,113,"2015-08-23"
"ACWY Serogroups",2015,34,0,49,"2015-08-23"
"Serogroup B",2015,35,0,56,"2015-08-30"
"Unknown Serogroup",2015,35,0,112,"2015-08-30"
"ACWY Serogroups",2015,35,0,50,"2015-08-30"
"Other Serogroup",2015,35,0,16,"2015-08-30"
"Other Serogroup",2015,36,0,16,"2015-09-06"
"ACWY Serogroups",2015,36,0,50,"2015-09-06"
"Unknown Serogroup",2015,36,1,114,"2015-09-06"
"Serogroup B",2015,36,0,57,"2015-09-06"
"Serogroup B",2015,37,0,58,"2015-09-13"
"Other Serogroup",2015,37,0,17,"2015-09-13"
"ACWY Serogroups",2015,37,0,51,"2015-09-13"
"Unknown Serogroup",2015,37,1,114,"2015-09-13"
"Other Serogroup",2015,38,0,17,"2015-09-20"
"Unknown Serogroup",2015,38,5,119,"2015-09-20"
"Serogroup B",2015,38,0,59,"2015-09-20"
"ACWY Serogroups",2015,38,0,51,"2015-09-20"
"Serogroup B",2015,39,0,60,"2015-09-27"
"ACWY Serogroups",2015,39,0,51,"2015-09-27"
"Other Serogroup",2015,39,0,17,"2015-09-27"
"Unknown Serogroup",2015,39,3,129,"2015-09-27"
"Other Serogroup",2015,40,0,18,"2015-10-04"
"Unknown Serogroup",2015,40,3,135,"2015-10-04"
"ACWY Serogroups",2015,40,0,54,"2015-10-04"
"Serogroup B",2015,40,0,62,"2015-10-04"
"Serogroup B",2015,41,0,62,"2015-10-11"
"Unknown Serogroup",2015,41,3,143,"2015-10-11"
"Other Serogroup",2015,41,0,18,"2015-10-11"
"ACWY Serogroups",2015,41,0,56,"2015-10-11"
"Unknown Serogroup",2015,42,2,145,"2015-10-18"
"Serogroup B",2015,42,0,64,"2015-10-18"
"Other Serogroup",2015,42,0,18,"2015-10-18"
"ACWY Serogroups",2015,42,0,58,"2015-10-18"
"Serogroup B",2015,43,0,64,"2015-10-25"
"Unknown Serogroup",2015,43,3,155,"2015-10-25"
"ACWY Serogroups",2015,43,0,57,"2015-10-25"
"Other Serogroup",2015,43,0,17,"2015-10-25"
"Unknown Serogroup",2015,44,2,152,"2015-11-01"
"Serogroup B",2015,44,0,67,"2015-11-01"
"ACWY Serogroups",2015,44,0,60,"2015-11-01"
"Other Serogroup",2015,44,0,18,"2015-11-01"
"Other Serogroup",2015,45,0,18,"2015-11-08"
"Serogroup B",2015,45,0,69,"2015-11-08"
"ACWY Serogroups",2015,45,0,62,"2015-11-08"
"Unknown Serogroup",2015,45,3,155,"2015-11-08"
