"epiweek","epiyear","Meningococcal disease, All serogroups cummulative current year","Meningococcal disease, Serogroups ACWY cummulative current year","Meningococcal disease, Serogroup B cummulative for current year","Meningococcal disease, Other serogroups cummulative current year","Meningococcal disease, Unknown serogroup cummulative current year","Meningococcal disease, All serogroups incidence current week","Meningococcal disease, Unknown serogroup incidence current week","Meningococcal disease, Serogroups ACWY incidence current week","Meningococcal disease, Serogroup B incidence current week","Meningococcal disease, Other serogroups incidence current week","date"
29,1997,2086,NA,NA,NA,NA,41,NA,NA,NA,NA,"1997-07-13"
30,1997,2114,NA,NA,NA,NA,28,NA,NA,NA,NA,"1997-07-20"
31,1997,2170,NA,NA,NA,NA,56,NA,NA,NA,NA,"1997-07-27"
32,1997,2198,NA,NA,NA,NA,28,NA,NA,NA,NA,"1997-08-03"
33,1997,2230,NA,NA,NA,NA,32,NA,NA,NA,NA,"1997-08-10"
34,1997,2286,NA,NA,NA,NA,56,NA,NA,NA,NA,"1997-08-17"
35,1997,2308,NA,NA,NA,NA,22,NA,NA,NA,NA,"1997-08-24"
36,1997,2340,NA,NA,NA,NA,32,NA,NA,NA,NA,"1997-08-31"
37,1997,2379,NA,NA,NA,NA,39,NA,NA,NA,NA,"1997-09-07"
38,1997,2417,NA,NA,NA,NA,38,NA,NA,NA,NA,"1997-09-14"
39,1997,2454,NA,NA,NA,NA,37,NA,NA,NA,NA,"1997-09-21"
40,1997,2516,NA,NA,NA,NA,62,NA,NA,NA,NA,"1997-09-28"
41,1997,2563,NA,NA,NA,NA,47,NA,NA,NA,NA,"1997-10-05"
42,1997,2629,NA,NA,NA,NA,66,NA,NA,NA,NA,"1997-10-12"
43,1997,2668,NA,NA,NA,NA,39,NA,NA,NA,NA,"1997-10-19"
44,1997,2719,NA,NA,NA,NA,51,NA,NA,NA,NA,"1997-10-26"
45,1997,2772,NA,NA,NA,NA,53,NA,NA,NA,NA,"1997-11-02"
46,1997,2814,NA,NA,NA,NA,42,NA,NA,NA,NA,"1997-11-09"
47,1997,2851,NA,NA,NA,NA,37,NA,NA,NA,NA,"1997-11-16"
48,1997,2873,NA,NA,NA,NA,22,NA,NA,NA,NA,"1997-11-23"
49,1997,2928,NA,NA,NA,NA,55,NA,NA,NA,NA,"1997-11-30"
50,1997,2972,NA,NA,NA,NA,44,NA,NA,NA,NA,"1997-12-07"
51,1997,3024,NA,NA,NA,NA,52,NA,NA,NA,NA,"1997-12-14"
52,1997,3078,NA,NA,NA,NA,54,NA,NA,NA,NA,"1997-12-21"
53,1997,3117,NA,NA,NA,NA,39,NA,NA,NA,NA,"1997-12-28"
1,1998,24,NA,NA,NA,NA,24,NA,NA,NA,NA,"1998-01-04"
2,1998,94,NA,NA,NA,NA,70,NA,NA,NA,NA,"1998-01-11"
3,1998,138,NA,NA,NA,NA,44,NA,NA,NA,NA,"1998-01-18"
4,1998,206,NA,NA,NA,NA,68,NA,NA,NA,NA,"1998-01-25"
5,1998,262,NA,NA,NA,NA,56,NA,NA,NA,NA,"1998-02-01"
6,1998,311,NA,NA,NA,NA,49,NA,NA,NA,NA,"1998-02-08"
7,1998,379,NA,NA,NA,NA,68,NA,NA,NA,NA,"1998-02-15"
8,1998,439,NA,NA,NA,NA,60,NA,NA,NA,NA,"1998-02-22"
9,1998,521,NA,NA,NA,NA,82,NA,NA,NA,NA,"1998-03-01"
10,1998,607,NA,NA,NA,NA,86,NA,NA,NA,NA,"1998-03-08"
11,1998,650,NA,NA,NA,NA,43,NA,NA,NA,NA,"1998-03-15"
12,1998,701,NA,NA,NA,NA,51,NA,NA,NA,NA,"1998-03-22"
13,1998,804,NA,NA,NA,NA,103,NA,NA,NA,NA,"1998-03-29"
14,1998,855,NA,NA,NA,NA,51,NA,NA,NA,NA,"1998-04-05"
15,1998,932,NA,NA,NA,NA,77,NA,NA,NA,NA,"1998-04-12"
16,1998,986,NA,NA,NA,NA,54,NA,NA,NA,NA,"1998-04-19"
17,1998,1026,NA,NA,NA,NA,40,NA,NA,NA,NA,"1998-04-26"
18,1998,1111,NA,NA,NA,NA,85,NA,NA,NA,NA,"1998-05-03"
19,1998,1147,NA,NA,NA,NA,36,NA,NA,NA,NA,"1998-05-10"
20,1998,1180,NA,NA,NA,NA,33,NA,NA,NA,NA,"1998-05-17"
21,1998,1222,NA,NA,NA,NA,42,NA,NA,NA,NA,"1998-05-24"
22,1998,1293,NA,NA,NA,NA,71,NA,NA,NA,NA,"1998-05-31"
23,1998,1346,NA,NA,NA,NA,53,NA,NA,NA,NA,"1998-06-07"
24,1998,1404,NA,NA,NA,NA,58,NA,NA,NA,NA,"1998-06-14"
25,1998,1472,NA,NA,NA,NA,68,NA,NA,NA,NA,"1998-06-21"
26,1998,1540,NA,NA,NA,NA,68,NA,NA,NA,NA,"1998-06-28"
27,1998,1584,NA,NA,NA,NA,44,NA,NA,NA,NA,"1998-07-05"
28,1998,1617,NA,NA,NA,NA,33,NA,NA,NA,NA,"1998-07-12"
29,1998,1653,NA,NA,NA,NA,36,NA,NA,NA,NA,"1998-07-19"
30,1998,1684,NA,NA,NA,NA,31,NA,NA,NA,NA,"1998-07-26"
31,1998,1723,NA,NA,NA,NA,39,NA,NA,NA,NA,"1998-08-02"
32,1998,1772,NA,NA,NA,NA,49,NA,NA,NA,NA,"1998-08-09"
33,1998,1830,NA,NA,NA,NA,58,NA,NA,NA,NA,"1998-08-16"
34,1998,1865,NA,NA,NA,NA,35,NA,NA,NA,NA,"1998-08-23"
